GEOID,var,est,moe,description,source
13059000100,Age05,40,48,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Age18_24,2141,368,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000100,AgeO65,39,56,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000100,AgeU18,49,55,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_ba,88,47,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_hsgrad,44,29,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_lesshs,22,12,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_ma,12,13,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_prof_doc,172,163,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_somecol,21,16,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Empl_labor,982,199,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Empl_unemp,80,72,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HInsur_FBNat,60,44,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HInsur_FBNC,39,32,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HInsur_Nat,2267,335,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HousOwn,61,54,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HousRent,2373,287,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc_10K,533,131,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc_200K,23,25,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc100K_149K,43,68,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc10K_24K,211,73,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc150K_199K,5,8,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc25K_49K,125,66,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc50K_74K,37,25,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc75K_99K,0,14,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_ag,0,14,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_arts,251,101,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_const,5,8,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_edhlth,272,100,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_finan,34,30,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_info,59,91,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_manf,6,9,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_other,51,43,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_prof,151,73,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_pubad,17,28,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_retail,45,33,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_trans,22,36,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_whlsl,0,14,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Inet_any,779,123,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Inet_broad,700,138,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Pov_Ov65,39,39,Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Pov_Und18,40,66,Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_AI,0,14,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_AsnNH,62,48,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_BlkNH,302,155,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_Hisp,123,74,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_HPI,0,14,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_OthNH,0,14,Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_WhtNH,2034,307,White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rent30,630,113,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Sch_grad,220,68,Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Sch_Kpre,0,20,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Sch_ugrad,1939,300,Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_car,556,146,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_carpool,25,36,Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_home,82,93,Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_noveh,22,36,Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_pub,0,14,Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_taxi,0,14,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_walk,143,72,Walked to work,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Age05,91,52,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Age18_24,373,116,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000401,AgeO65,16,50,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000401,AgeU18,168,91,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_ba,375,124,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_hsgrad,18,16,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_lesshs,13,11,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_ma,254,71,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_prof_doc,144,62,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_somecol,47,30,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Empl_labor,824,160,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Empl_unemp,8,12,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HInsur_FBNat,30,40,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HInsur_FBNC,481,149,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HInsur_Nat,707,134,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HousOwn,27,22,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HousRent,1182,204,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc_10K,168,65,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc_200K,0,14,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc100K_149K,13,12,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc10K_24K,209,71,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc150K_199K,10,16,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc25K_49K,165,56,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc50K_74K,83,52,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc75K_99K,75,98,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_ag,0,14,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_arts,48,44,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_const,5,7,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_edhlth,499,100,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_finan,0,14,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_info,5,7,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_manf,9,13,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_other,11,13,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_prof,163,107,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_pubad,8,11,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_retail,48,26,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_trans,22,22,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_whlsl,0,14,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Inet_any,502,132,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Inet_broad,477,132,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
